per_idx,cat_idx,dt_idx,et_idx,is_adj,val
1,3,1,0,0,130683
1,3,1,0,1,146913
1,4,1,0,0,100872
1,4,1,0,1,113435
1,5,1,0,0,33906
1,5,1,0,1,42773
1,6,1,0,0,29811
1,6,1,0,1,33478
1,8,1,0,0,25800
1,9,1,0,0,24056
1,10,1,0,0,1744
1,11,1,0,0,3023
1,11,1,0,1,3311
1,7,1,0,0,26788
1,7,1,0,1,30167
1,13,1,0,0,3846
1,13,1,0,1,4254
1,14,1,0,0,2392
1,15,1,0,0,1454
1,16,1,0,0,728
1,12,1,0,0,7087
1,12,1,0,1,7624
1,18,1,0,0,3241
1,18,1,0,1,3370
1,19,1,0,0,2142
1,20,1,0,0,601
1,21,1,0,0,1541
1,22,1,0,0,933
1,22,1,0,1,896
1,23,1,0,0,8964
1,23,1,0,1,10845
1,24,1,0,0,7637
1,24,1,0,1,9059
1,26,1,0,0,842
1,27,1,0,0,29589
1,27,1,0,1,30437
1,28,1,0,0,27306
1,28,1,0,1,27835
1,30,1,0,0,1509
1,30,1,0,1,1713
1,31,1,0,0,7258
1,31,1,0,1,7421
1,32,1,0,0,6358
1,32,1,0,1,6461
1,33,1,0,0,12099
1,33,1,0,1,12803
1,34,1,0,0,6938
1,34,1,0,1,9716
1,35,1,0,0,4852
1,35,1,0,1,6758
1,36,1,0,0,701
1,36,1,0,1,840
1,37,1,0,0,1873
1,37,1,0,1,2631
1,38,1,0,0,1649
1,40,1,0,0,1206
1,40,1,0,1,1608
1,41,1,0,0,796
1,41,1,0,1,1248
1,1,1,0,0,146376
1,1,1,0,1,164083
1,2,1,0,0,116565
1,2,1,0,1,130605
1,42,1,0,0,3439
1,42,1,0,1,3877
1,43,1,0,0,972
1,44,1,0,0,620
1,45,1,0,0,790
1,46,1,0,0,14996
1,46,1,0,1,19879
1,49,1,0,0,4818
1,52,1,0,0,4959
1,48,1,0,0,5488
1,51,1,0,0,5601
1,47,1,0,0,10306
1,47,1,0,1,14134
1,50,1,0,0,10560
1,53,1,0,0,4690
1,53,1,0,1,5745
1,54,1,0,0,2579
1,54,1,0,1,3063
1,55,1,0,0,2111
1,55,1,0,1,2682
1,56,1,0,0,3642
1,56,1,0,1,4318
1,57,1,0,0,1446
1,58,1,0,0,788
1,59,1,0,0,658
1,60,1,0,0,371
1,61,1,0,0,6860
1,61,1,0,1,6515
1,62,1,0,0,2692
1,62,1,0,1,2668
1,63,1,0,0,1916
1,63,1,0,1,1282
1,64,1,0,0,15693
1,64,1,0,1,17170
1,65,1,0,0,6887
1,66,1,0,0,6438
1,67,1,0,0,1049
1,3,2,0,0,235509
1,4,2,0,0,172890
1,6,2,0,0,62619
1,12,2,0,0,13850
1,23,2,0,0,19545
1,27,2,0,0,26963
1,34,2,0,0,22622
1,46,2,0,0,43750
1,47,2,0,0,33798
1,3,2,0,1,241995
1,4,2,0,1,180510
1,6,2,0,1,61485
1,12,2,0,1,14075
1,23,2,0,1,19843
1,27,2,0,1,26893
1,34,2,0,1,25052
1,46,2,0,1,47543
1,47,2,0,1,36737
1,3,3,0,0,1.8
1,4,3,0,0,1.71
1,6,3,0,0,2.1
1,12,3,0,0,1.95
1,23,3,0,0,2.18
1,27,3,0,0,0.91
1,34,3,0,0,3.26
1,46,3,0,0,2.92
1,47,3,0,0,3.28
1,3,3,0,1,1.65
1,4,3,0,1,1.59
1,6,3,0,1,1.84
1,12,3,0,1,1.85
1,23,3,0,1,1.83
1,27,3,0,1,0.88
1,34,3,0,1,2.58
1,46,3,0,1,2.39
1,47,3,0,1,2.6
2,23,3,0,0,2.24
